year,team,name,PA,ab,h,doubles,triples,hr,rbi,bb,so,hbp,sf,BA,OBP,SLG,OPS
2024,Roah,Candelario,61,58,18,0,0,9,16,1,10,2,0,0.31,0.344,0.776,1.12
2024,Roah,Betts,31,30,10,3,0,3,3,1,6,0,0,0.333,0.355,0.733,1.088
2024,Roah,Manzardo,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0
2024,Roah,Yelich,48,45,12,1,2,3,6,2,12,1,0,0.267,0.312,0.578,0.89
2024,Roah,Arenado,37,37,7,1,0,4,7,0,5,0,0,0.189,0.189,0.541,0.73
2024,Roah,France,32,30,7,1,0,3,4,1,3,0,1,0.233,0.25,0.567,0.817
2024,Roah,Wong,43,41,12,2,1,0,3,1,1,1,0,0.293,0.326,0.39,0.716
2024,Roah,Robert Jr.,32,29,9,1,0,3,10,3,7,0,0,0.31,0.375,0.655,1.03
2024,Roah,Johnson,15,14,3,0,0,2,4,1,6,0,0,0.214,0.267,0.643,0.91
2024,Roah,Ruiz,40,35,8,3,0,0,1,4,6,1,0,0.229,0.325,0.314,0.639
2024,Roah,Hernandez,14,13,4,0,0,1,4,1,3,0,0,0.308,0.357,0.538,0.895
2024,Roah,McCovey,21,20,9,0,0,2,4,1,2,0,0,0.45,0.476,0.75,1.226
2024,Roah,Cabrera,8,5,0,0,0,0,1,2,1,0,1,0.0,0.25,0.0,0.25
2024,Roah,Berti,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,Roah,Muncy,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,Roah,Hoskins,3,3,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
2024,Roah,Gorman,2,2,1,1,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5
2024,Roah,Clemente,4,3,1,0,0,0,1,1,0,0,0,0.333,0.5,0.333,0.833
2024,Roah,Sanchez,4,4,0,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0
2024,Roah,De La Cruz,11,10,3,1,1,0,0,1,1,0,0,0.3,0.364,0.6,0.964
2024,Roah,Tarasco,5,5,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4
2024,Roah,Meneses,2,2,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
2024,Roah,Davis,5,5,2,0,0,1,1,0,0,0,0,0.4,0.4,1.0,1.4
2024,Roah,Palmeiro,3,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666
2024,Roah,Alvarez,28,25,5,0,0,2,2,2,5,1,0,0.2,0.286,0.44,0.726
2024,Roah,Marte,9,9,3,0,0,1,2,0,1,0,0,0.333,0.333,0.667,1.0
2024,Roah,O'Neil,19,16,7,2,0,2,4,2,0,1,0,0.438,0.526,0.938,1.464
2024,Roah,Thompson,3,3,1,0,0,1,1,0,1,0,0,0.333,0.333,1.333,1.666
2024,Roah,Schoop,1,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
2024,Roah,Trout,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,Roah,Andrus,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,Roah,Chourio,12,12,2,1,0,0,0,0,3,0,0,0.167,0.167,0.25,0.417
2024,Roah,Holliday,5,5,1,1,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6
2024,Roah,Pauley,2,2,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1.0
2024,Roah,Chisholm Jr.,3,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666
2024,Roah,Dominguez,14,14,3,0,0,2,4,0,7,0,0,0.214,0.214,0.643,0.857
2024,Roah,Ohtani,14,14,5,0,0,4,10,0,4,0,0,0.357,0.357,1.214,1.571
2024,Roah,Garver,8,8,2,0,0,0,0,0,3,0,0,0.25,0.25,0.25,0.5
2024,Roah,Busch,11,10,6,2,0,2,6,0,2,0,1,0.6,0.545,1.4,1.945
2024,Roah,Robinson,12,11,3,0,0,0,1,1,2,0,0,0.273,0.333,0.273,0.606
2024,Roah,Mathews,7,6,2,0,0,2,2,0,2,1,0,0.333,0.429,1.333,1.762
2024,Roah,Segura,2,1,0,0,0,0,0,1,0,0,0,0.0,0.5,0.0,0.5
2024,Roah,Ford,4,4,1,0,0,0,0,0,2,0,0,0.25,0.25,0.25,0.5
